Course,Course Name,Credits,Instructor,Room,Days,Date,Start Time,End Time,Max Enrollment,Total Enrollment
NET110Lec1,Computer Network Fundamentals,3,"Kaur, Kuljeet",HUB-115 Networking Lab,W,Weekly,3:00:00 PM,4:59:00 PM,20,20
NET110Lec2,Computer Network Fundamentals,3,"Kaur, Kuljeet",MGT-102,M,Weekly,3:00:00 PM,4:59:00 PM,20,13
NET110Lec2,Computer Network Fundamentals,3,"Yousefi, Adel",HUB-115 Networking Lab,W,Weekly,5:00:00 PM,6:59:00 PM,20,13
NET111Lec1,Operating Systems Fundamentals,3,"Elnaffar, Said Selim",HUB-119,M,Weekly,11:00:00 AM,12:59:00 PM,22,21
NET111Lec1,Operating Systems Fundamentals,3,"Seyam, Ahmed",HUB-117 Software Lab,R,Weekly,3:00:00 PM,4:59:00 PM,22,21
NET214Lec1,Network Programming,3,"Ouarnoughi, Hamza",MGT-106,M,Weekly,9:00:00 AM,10:59:00 AM,20,21
NET214Lec1,Network Programming,3,"Ouarnoughi, Hamza",HUB-115 Networking Lab,T,Weekly,7:00:00 PM,8:59:00 PM,20,21
NET222Lec1,Wireless Networks,3,"Satrya, Gandeva",HUB-115 Networking Lab,T,Weekly,11:00:00 AM,12:59:00 PM,21,19
NET222Lec1,Wireless Networks,3,"Satrya, Gandeva",HUB-115 Networking Lab,W,Weekly,1:00:00 PM,2:59:00 PM,21,19
NET320LecC1,Advanced LAN Switching And Routing,3,"Hussein, Ahmed",HUB-115 Networking Lab,T,Weekly,1:00:00 PM,2:59:00 PM,24,21
NET320LecC1,Advanced LAN Switching And Routing,3,"Hussein, Ahmed",HUB-115 Networking Lab,R,Weekly,5:00:00 PM,6:59:00 PM,24,21
NET403Lec1,Mobile Security,3,"Satrya, Gandeva",MGT-106,T,Weekly,6:00:00 PM,7:59:00 PM,24,14
NET403Lec1,Mobile Security,3,"Seyam, Ahmed",HUB-118 Robotic Lab,R,Weekly,7:00:00 PM,8:59:00 PM,24,14
NET405Lec1,Virtualization And Cloud Computing,3,"Ouarnoughi, Hamza",MGT-106,M,Weekly,11:00:00 AM,12:59:00 PM,18,18
NET405Lec1,Virtualization And Cloud Computing,3,"Ouarnoughi, Hamza",HUB-117 Software Lab,T,Weekly,3:00:00 PM,4:59:00 PM,18,18
NET420LecC1,Advanced Network Troubleshooting,3,"Satrya, Gandeva",HUB-117 Software Lab,W,Weekly,3:00:00 PM,4:59:00 PM,24,7
NET420LecC1,Advanced Network Troubleshooting,3,"Satrya, Gandeva",HUB-115 Networking Lab,R,Weekly,10:00:00 AM,11:59:00 AM,24,7
NET440PrjCNET,CNET Project 1,2,"Moussa, Sherif",,N\A,Weekly,12:00:00 AM,12:00:00 AM,10,1
NET441PrjCNET,CNET Project 2,2,"Moussa, Sherif",,N\A,Weekly,12:00:00 AM,12:00:00 AM,5,2
SCI101Lec1,Engineering Mechanics,3,"El Khatib, Ziad",MGT-203,T,Weekly,9:00:00 AM,11:59:00 AM,54,19
SCI210Lec1,Modern Physics,3,"Ali, Edriss",HUB-116 Electronic Lab,M,Weekly,7:00:00 PM,8:59:00 PM,19,18
SCI210Lec1,Modern Physics,3,"Ali, Edriss",MGT-207,T,Weekly,1:00:00 PM,2:59:00 PM,19,18
SCI210Lec2,Modern Physics,3,"Ali, Edriss",MGT-207,T,Weekly,1:00:00 PM,2:59:00 PM,19,20
SCI210Lec2,Modern Physics,3,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,R,Weekly,3:00:00 PM,4:59:00 PM,19,20
SCI220Lec1,Engineering Mechanics,3,"El Khatib, Ziad",MGT-203,T,Weekly,9:00:00 AM,11:59:00 AM,54,19
SWS110Lec1,Programming 1,3,"Yousefi, Adel",HUB-117 Software Lab,T,Weekly,1:00:00 PM,2:59:00 PM,24,9
SWS110Lec1,Programming 1,3,"Garg, Sahil",HUB-114,W,Weekly,11:00:00 AM,12:59:00 PM,24,9
SWS110Lec2,Programming 1,3,"Seyam, Ahmed",HUB-118 Robotic Lab,T,Weekly,1:00:00 PM,2:59:00 PM,24,24
SWS110Lec2,Programming 1,3,"Garg, Sahil",HUB-114,W,Weekly,11:00:00 AM,12:59:00 PM,24,24
SWS211Lec1,System Analysis And Design,3,"Ouarnoughi, Hamza",MGT-207,W,Weekly,3:00:00 PM,5:59:00 PM,38,19
SWS215Lec1,Web Development,3,"Elnaffar, Said Selim",HUB-114,M,Weekly,1:00:00 PM,2:59:00 PM,22,16
SWS215Lec1,Web Development,3,"Seyam, Ahmed",HUB-115 Networking Lab,T,Weekly,3:00:00 PM,4:59:00 PM,22,16
SWS215Lec2,Web Development,3,"Elnaffar, Said Selim",HUB-114,M,Weekly,1:00:00 PM,2:59:00 PM,22,20
SWS215Lec2,Web Development,3,"Elnaffar, Said Selim",HUB-117 Software Lab,T,Weekly,11:00:00 AM,12:59:00 PM,22,20
SWS316Lec1,Programming 2,3,"Yousefi, Adel",HUB-117 Software Lab,M,Weekly,7:00:00 PM,8:59:00 PM,12,11
SWS316Lec1,Programming 2,3,"Oguz, Kaya",MGT-204,T,Weekly,5:00:00 PM,6:59:00 PM,12,11
SWS316Lec2,Programming 2,3,"Oguz, Kaya",MGT-204,T,Weekly,5:00:00 PM,6:59:00 PM,20,17
SWS316Lec2,Programming 2,3,"Oguz, Kaya",HUB-118 Robotic Lab,W,Weekly,11:00:00 AM,12:59:00 PM,20,17
SWS405Lec1,Applied Artificial Intelligence,3,"Kolankeh , Arash",HUB-114,M,Weekly,9:00:00 AM,10:59:00 AM,24,19
SWS405Lec1,Applied Artificial Intelligence,3,"Kolankeh , Arash",HUB-115 Networking Lab,T,Weekly,9:00:00 AM,10:59:00 AM,24,19
